Measurement	Count	Measurement_type	source_file
TSS_up_5kb	377927	Tag count	TARGET-10-PAKVKK-03A-01R
TSS_up_10kb	661673	Tag count	TARGET-10-PAKVKK-03A-01R
TES_down_1kb	249184	Tag count	TARGET-10-PAKVKK-03A-01R
TES_down_5kb	725080	Tag count	TARGET-10-PAKVKK-03A-01R
TES_down_10kb	1072997	Tag count	TARGET-10-PAKVKK-03A-01R
CDS_Exons	30574303	Tag count	TARGET-10-PAKYEP-03A-01R
5'UTR_Exons	2534288	Tag count	TARGET-10-PAKYEP-03A-01R
3'UTR_Exons	14196731	Tag count	TARGET-10-PAKYEP-03A-01R
Introns	70066439	Tag count	TARGET-10-PAKYEP-03A-01R
TSS_up_1kb	287800	Tag count	TARGET-10-PAKYEP-03A-01R
TSS_up_5kb	1110312	Tag count	TARGET-10-PAKYEP-03A-01R
TSS_up_10kb	1897520	Tag count	TARGET-10-PAKYEP-03A-01R
TES_down_1kb	491481	Tag count	TARGET-10-PAKYEP-03A-01R
TES_down_5kb	1690489	Tag count	TARGET-10-PAKYEP-03A-01R
TES_down_10kb	2623099	Tag count	TARGET-10-PAKYEP-03A-01R
CDS_Exons	24719094	Tag count	TARGET-10-PALETF-03A-01R
5'UTR_Exons	2218426	Tag count	TARGET-10-PALETF-03A-01R
3'UTR_Exons	12276275	Tag count	TARGET-10-PALETF-03A-01R
Introns	82734960	Tag count	TARGET-10-PALETF-03A-01R
TSS_up_1kb	147840	Tag count	TARGET-10-PALETF-03A-01R
TSS_up_5kb	585764	Tag count	TARGET-10-PALETF-03A-01R
TSS_up_10kb	1024974	Tag count	TARGET-10-PALETF-03A-01R
TES_down_1kb	411287	Tag count	TARGET-10-PALETF-03A-01R
TES_down_5kb	1358178	Tag count	TARGET-10-PALETF-03A-01R
TES_down_10kb	2052749	Tag count	TARGET-10-PALETF-03A-01R
CDS_Exons	16375988	Tag count	TARGET-10-PALIBN-09A-01R
5'UTR_Exons	1825039	Tag count	TARGET-10-PALIBN-09A-01R
3'UTR_Exons	7782313	Tag count	TARGET-10-PALIBN-09A-01R
Introns	51755491	Tag count	TARGET-10-PALIBN-09A-01R
TSS_up_1kb	220123	Tag count	TARGET-10-PALIBN-09A-01R
TSS_up_5kb	853905	Tag count	TARGET-10-PALIBN-09A-01R
TSS_up_10kb	1456944	Tag count	TARGET-10-PALIBN-09A-01R
TES_down_1kb	463944	Tag count	TARGET-10-PALIBN-09A-01R
TES_down_5kb	1664226	Tag count	TARGET-10-PALIBN-09A-01R
TES_down_10kb	2577338	Tag count	TARGET-10-PALIBN-09A-01R
CDS_Exons	20108980	Tag count	TARGET-10-PALJDL-09A-01R
5'UTR_Exons	1661246	Tag count	TARGET-10-PALJDL-09A-01R
3'UTR_Exons	9022899	Tag count	TARGET-10-PALJDL-09A-01R
Introns	55405476	Tag count	TARGET-10-PALJDL-09A-01R
TSS_up_1kb	138448	Tag count	TARGET-10-PALJDL-09A-01R
TSS_up_5kb	542549	Tag count	TARGET-10-PALJDL-09A-01R
TSS_up_10kb	943553	Tag count	TARGET-10-PALJDL-09A-01R
TES_down_1kb	307622	Tag count	TARGET-10-PALJDL-09A-01R
TES_down_5kb	1064289	Tag count	TARGET-10-PALJDL-09A-01R
TES_down_10kb	1592224	Tag count	TARGET-10-PALJDL-09A-01R
CDS_Exons	23198990	Tag count	TARGET-10-PAMDRM-09A-01R
5'UTR_Exons	2318833	Tag count	TARGET-10-PAMDRM-09A-01R
3'UTR_Exons	12365507	Tag count	TARGET-10-PAMDRM-09A-01R
Introns	68212683	Tag count	TARGET-10-PAMDRM-09A-01R
TSS_up_1kb	178310	Tag count	TARGET-10-PAMDRM-09A-01R
TSS_up_5kb	652965	Tag count	TARGET-10-PAMDRM-09A-01R
TSS_up_10kb	1110120	Tag count	TARGET-10-PAMDRM-09A-01R
TES_down_1kb	478610	Tag count	TARGET-10-PAMDRM-09A-01R
TES_down_5kb	1580162	Tag count	TARGET-10-PAMDRM-09A-01R
TES_down_10kb	2337160	Tag count	TARGET-10-PAMDRM-09A-01R
CDS_Exons	35998840	Tag count	TARGET-10-PANATY-09B-01R
5'UTR_Exons	3004769	Tag count	TARGET-10-PANATY-09B-01R
3'UTR_Exons	15061047	Tag count	TARGET-10-PANATY-09B-01R
Introns	127067152	Tag count	TARGET-10-PANATY-09B-01R
TSS_up_1kb	306706	Tag count	TARGET-10-PANATY-09B-01R
TSS_up_5kb	1089160	Tag count	TARGET-10-PANATY-09B-01R
TSS_up_10kb	1860663	Tag count	TARGET-10-PANATY-09B-01R
TES_down_1kb	721318	Tag count	TARGET-10-PANATY-09B-01R
TES_down_5kb	2353504	Tag count	TARGET-10-PANATY-09B-01R
TES_down_10kb	3412575	Tag count	TARGET-10-PANATY-09B-01R
CDS_Exons	38370008	Tag count	TARGET-10-PANDBX-09B-01R
5'UTR_Exons	2960042	Tag count	TARGET-10-PANDBX-09B-01R
3'UTR_Exons	14319231	Tag count	TARGET-10-PANDBX-09B-01R
Introns	127748607	Tag count	TARGET-10-PANDBX-09B-01R
TSS_up_1kb	263155	Tag count	TARGET-10-PANDBX-09B-01R
TSS_up_5kb	890793	Tag count	TARGET-10-PANDBX-09B-01R
TSS_up_10kb	1503911	Tag count	TARGET-10-PANDBX-09B-01R
TES_down_1kb	560288	Tag count	TARGET-10-PANDBX-09B-01R
TES_down_5kb	1768475	Tag count	TARGET-10-PANDBX-09B-01R
TES_down_10kb	2537513	Tag count	TARGET-10-PANDBX-09B-01R
CDS_Exons	61914854	Tag count	TARGET-10-PANEHF-09A-01R
5'UTR_Exons	3788248	Tag count	TARGET-10-PANEHF-09A-01R
3'UTR_Exons	26748401	Tag count	TARGET-10-PANEHF-09A-01R
Introns	53819109	Tag count	TARGET-10-PANEHF-09A-01R
TSS_up_1kb	192688	Tag count	TARGET-10-PANEHF-09A-01R
TSS_up_5kb	620927	Tag count	TARGET-10-PANEHF-09A-01R
TSS_up_10kb	1056475	Tag count	TARGET-10-PANEHF-09A-01R
TES_down_1kb	470116	Tag count	TARGET-10-PANEHF-09A-01R
TES_down_5kb	1426454	Tag count	TARGET-10-PANEHF-09A-01R
TES_down_10kb	1979334	Tag count	TARGET-10-PANEHF-09A-01R
CDS_Exons	61303984	Tag count	TARGET-10-PANKAK-04A-02R
5'UTR_Exons	4173620	Tag count	TARGET-10-PANKAK-04A-02R
3'UTR_Exons	31256458	Tag count	TARGET-10-PANKAK-04A-02R
Introns	54277106	Tag count	TARGET-10-PANKAK-04A-02R
TSS_up_1kb	263114	Tag count	TARGET-10-PANKAK-04A-02R
TSS_up_5kb	895857	Tag count	TARGET-10-PANKAK-04A-02R
TSS_up_10kb	1552471	Tag count	TARGET-10-PANKAK-04A-02R
TES_down_1kb	735248	Tag count	TARGET-10-PANKAK-04A-02R
TES_down_5kb	2644711	Tag count	TARGET-10-PANKAK-04A-02R
TES_down_10kb	3800152	Tag count	TARGET-10-PANKAK-04A-02R
CDS_Exons	34098967	Tag count	TARGET-10-PANLGK-03B-01R
5'UTR_Exons	3638058	Tag count	TARGET-10-PANLGK-03B-01R
3'UTR_Exons	11765687	Tag count	TARGET-10-PANLGK-03B-01R
Introns	103922150	Tag count	TARGET-10-PANLGK-03B-01R
TSS_up_1kb	427845	Tag count	TARGET-10-PANLGK-03B-01R
TSS_up_5kb	1338766	Tag count	TARGET-10-PANLGK-03B-01R
TSS_up_10kb	2170062	Tag count	TARGET-10-PANLGK-03B-01R
TES_down_1kb	742352	Tag count	TARGET-10-PANLGK-03B-01R
TES_down_5kb	2384989	Tag count	TARGET-10-PANLGK-03B-01R
TES_down_10kb	3497273	Tag count	TARGET-10-PANLGK-03B-01R
CDS_Exons	40846797	Tag count	TARGET-10-PANNGL-09A-01R
5'UTR_Exons	2520125	Tag count	TARGET-10-PANNGL-09A-01R
3'UTR_Exons	16739033	Tag count	TARGET-10-PANNGL-09A-01R
Introns	26563981	Tag count	TARGET-10-PANNGL-09A-01R
