Measurement	Count	Measurement_type	source_file
TSS_up_10kb	327058	Tag count	TH27_1158_S02
TES_down_1kb	154684	Tag count	TH27_1158_S02
TES_down_5kb	495591	Tag count	TH27_1158_S02
TES_down_10kb	630208	Tag count	TH27_1158_S02
CDS_Exons	58285655	Tag count	TH27_1159_S01
5'UTR_Exons	2292698	Tag count	TH27_1159_S01
3'UTR_Exons	22724417	Tag count	TH27_1159_S01
Introns	4199831	Tag count	TH27_1159_S01
TSS_up_1kb	68217	Tag count	TH27_1159_S01
TSS_up_5kb	174410	Tag count	TH27_1159_S01
TSS_up_10kb	266839	Tag count	TH27_1159_S01
TES_down_1kb	181692	Tag count	TH27_1159_S01
TES_down_5kb	476971	Tag count	TH27_1159_S01
TES_down_10kb	599386	Tag count	TH27_1159_S01
CDS_Exons	61933671	Tag count	TH27_1160_S01
5'UTR_Exons	2974624	Tag count	TH27_1160_S01
3'UTR_Exons	30289514	Tag count	TH27_1160_S01
Introns	8966235	Tag count	TH27_1160_S01
TSS_up_1kb	136796	Tag count	TH27_1160_S01
TSS_up_5kb	344481	Tag count	TH27_1160_S01
TSS_up_10kb	517950	Tag count	TH27_1160_S01
TES_down_1kb	276132	Tag count	TH27_1160_S01
TES_down_5kb	752366	Tag count	TH27_1160_S01
TES_down_10kb	1000558	Tag count	TH27_1160_S01
CDS_Exons	8045003	Tag count	TH27_1161_S01
5'UTR_Exons	439291	Tag count	TH27_1161_S01
3'UTR_Exons	2427605	Tag count	TH27_1161_S01
Introns	1161235	Tag count	TH27_1161_S01
TSS_up_1kb	21684	Tag count	TH27_1161_S01
TSS_up_5kb	52754	Tag count	TH27_1161_S01
TSS_up_10kb	82900	Tag count	TH27_1161_S01
TES_down_1kb	36934	Tag count	TH27_1161_S01
TES_down_5kb	92090	Tag count	TH27_1161_S01
TES_down_10kb	128637	Tag count	TH27_1161_S01
CDS_Exons	6196413	Tag count	TH27_1161_S02
5'UTR_Exons	352718	Tag count	TH27_1161_S02
3'UTR_Exons	1911215	Tag count	TH27_1161_S02
Introns	1076578	Tag count	TH27_1161_S02
TSS_up_1kb	17929	Tag count	TH27_1161_S02
TSS_up_5kb	44718	Tag count	TH27_1161_S02
TSS_up_10kb	68826	Tag count	TH27_1161_S02
TES_down_1kb	30052	Tag count	TH27_1161_S02
TES_down_5kb	79216	Tag count	TH27_1161_S02
TES_down_10kb	108799	Tag count	TH27_1161_S02
CDS_Exons	55751291	Tag count	TH27_1164_S01
5'UTR_Exons	2613485	Tag count	TH27_1164_S01
3'UTR_Exons	19684372	Tag count	TH27_1164_S01
Introns	3917432	Tag count	TH27_1164_S01
TSS_up_1kb	79012	Tag count	TH27_1164_S01
TSS_up_5kb	183282	Tag count	TH27_1164_S01
TSS_up_10kb	284698	Tag count	TH27_1164_S01
TES_down_1kb	179625	Tag count	TH27_1164_S01
TES_down_5kb	463231	Tag count	TH27_1164_S01
TES_down_10kb	609052	Tag count	TH27_1164_S01
CDS_Exons	62786244	Tag count	TH27_1164_S02
5'UTR_Exons	2953743	Tag count	TH27_1164_S02
3'UTR_Exons	23224682	Tag count	TH27_1164_S02
Introns	5203027	Tag count	TH27_1164_S02
TSS_up_1kb	105241	Tag count	TH27_1164_S02
TSS_up_5kb	259387	Tag count	TH27_1164_S02
TSS_up_10kb	400264	Tag count	TH27_1164_S02
TES_down_1kb	224517	Tag count	TH27_1164_S02
TES_down_5kb	585233	Tag count	TH27_1164_S02
TES_down_10kb	781086	Tag count	TH27_1164_S02
CDS_Exons	30660098	Tag count	TH27_1165_S01
5'UTR_Exons	1229114	Tag count	TH27_1165_S01
3'UTR_Exons	11423099	Tag count	TH27_1165_S01
Introns	2235244	Tag count	TH27_1165_S01
TSS_up_1kb	33059	Tag count	TH27_1165_S01
TSS_up_5kb	79125	Tag count	TH27_1165_S01
TSS_up_10kb	141566	Tag count	TH27_1165_S01
TES_down_1kb	100931	Tag count	TH27_1165_S01
TES_down_5kb	249597	Tag count	TH27_1165_S01
TES_down_10kb	324779	Tag count	TH27_1165_S01
CDS_Exons	40251787	Tag count	TH27_1165_S02
5'UTR_Exons	1610225	Tag count	TH27_1165_S02
3'UTR_Exons	13742496	Tag count	TH27_1165_S02
Introns	2635939	Tag count	TH27_1165_S02
TSS_up_1kb	42984	Tag count	TH27_1165_S02
TSS_up_5kb	101756	Tag count	TH27_1165_S02
TSS_up_10kb	172313	Tag count	TH27_1165_S02
TES_down_1kb	120809	Tag count	TH27_1165_S02
TES_down_5kb	290845	Tag count	TH27_1165_S02
TES_down_10kb	371688	Tag count	TH27_1165_S02
CDS_Exons	30250516	Tag count	TH27_1165_S03
5'UTR_Exons	1217161	Tag count	TH27_1165_S03
3'UTR_Exons	10662847	Tag count	TH27_1165_S03
Introns	2233507	Tag count	TH27_1165_S03
TSS_up_1kb	33287	Tag count	TH27_1165_S03
TSS_up_5kb	77674	Tag count	TH27_1165_S03
TSS_up_10kb	135768	Tag count	TH27_1165_S03
TES_down_1kb	104100	Tag count	TH27_1165_S03
TES_down_5kb	240640	Tag count	TH27_1165_S03
TES_down_10kb	308444	Tag count	TH27_1165_S03
CDS_Exons	47247513	Tag count	TH27_1166_S01
5'UTR_Exons	2070127	Tag count	TH27_1166_S01
3'UTR_Exons	17285218	Tag count	TH27_1166_S01
Introns	6431862	Tag count	TH27_1166_S01
TSS_up_1kb	77631	Tag count	TH27_1166_S01
TSS_up_5kb	194614	Tag count	TH27_1166_S01
TSS_up_10kb	296112	Tag count	TH27_1166_S01
TES_down_1kb	202571	Tag count	TH27_1166_S01
TES_down_5kb	511646	Tag count	TH27_1166_S01
TES_down_10kb	650787	Tag count	TH27_1166_S01
CDS_Exons	43712475	Tag count	TH27_1167_S01
5'UTR_Exons	1773326	Tag count	TH27_1167_S01
3'UTR_Exons	14518985	Tag count	TH27_1167_S01
Introns	3481893	Tag count	TH27_1167_S01
TSS_up_1kb	57077	Tag count	TH27_1167_S01
TSS_up_5kb	119467	Tag count	TH27_1167_S01
TSS_up_10kb	185177	Tag count	TH27_1167_S01
TES_down_1kb	151476	Tag count	TH27_1167_S01
TES_down_5kb	370248	Tag count	TH27_1167_S01
TES_down_10kb	455576	Tag count	TH27_1167_S01
CDS_Exons	16507894	Tag count	TH27_1168_S01
5'UTR_Exons	761550	Tag count	TH27_1168_S01
3'UTR_Exons	9909348	Tag count	TH27_1168_S01
Introns	1733494	Tag count	TH27_1168_S01
TSS_up_1kb	37834	Tag count	TH27_1168_S01
TSS_up_5kb	109858	Tag count	TH27_1168_S01
TSS_up_10kb	180966	Tag count	TH27_1168_S01
TES_down_1kb	109758	Tag count	TH27_1168_S01
TES_down_5kb	270023	Tag count	TH27_1168_S01
TES_down_10kb	360652	Tag count	TH27_1168_S01
CDS_Exons	32599116	Tag count	TH27_1169_S01
5'UTR_Exons	1221594	Tag count	TH27_1169_S01
3'UTR_Exons	14753255	Tag count	TH27_1169_S01
Introns	1854947	Tag count	TH27_1169_S01
TSS_up_1kb	36685	Tag count	TH27_1169_S01
TSS_up_5kb	91628	Tag count	TH27_1169_S01
TSS_up_10kb	148469	Tag count	TH27_1169_S01
TES_down_1kb	97403	Tag count	TH27_1169_S01
TES_down_5kb	263608	Tag count	TH27_1169_S01
TES_down_10kb	336362	Tag count	TH27_1169_S01
CDS_Exons	6441378	Tag count	TH27_1170_S01
5'UTR_Exons	337592	Tag count	TH27_1170_S01
3'UTR_Exons	3405391	Tag count	TH27_1170_S01
Introns	439013	Tag count	TH27_1170_S01
TSS_up_1kb	12430	Tag count	TH27_1170_S01
TSS_up_5kb	27670	Tag count	TH27_1170_S01
TSS_up_10kb	41102	Tag count	TH27_1170_S01
TES_down_1kb	34973	Tag count	TH27_1170_S01
TES_down_5kb	87455	Tag count	TH27_1170_S01
TES_down_10kb	110552	Tag count	TH27_1170_S01
CDS_Exons	132345502	Tag count	TH27_1241_S01
5'UTR_Exons	6542918	Tag count	TH27_1241_S01
3'UTR_Exons	53158341	Tag count	TH27_1241_S01
Introns	6998935	Tag count	TH27_1241_S01
TSS_up_1kb	249749	Tag count	TH27_1241_S01
TSS_up_5kb	537505	Tag count	TH27_1241_S01
TSS_up_10kb	770934	Tag count	TH27_1241_S01
TES_down_1kb	514884	Tag count	TH27_1241_S01
TES_down_5kb	1308933	Tag count	TH27_1241_S01
TES_down_10kb	1620044	Tag count	TH27_1241_S01
CDS_Exons	93835692	Tag count	TH27_1242_S01
5'UTR_Exons	5117974	Tag count	TH27_1242_S01
3'UTR_Exons	26857570	Tag count	TH27_1242_S01
Introns	20995780	Tag count	TH27_1242_S01
TSS_up_1kb	203417	Tag count	TH27_1242_S01
TSS_up_5kb	508098	Tag count	TH27_1242_S01
TSS_up_10kb	762513	Tag count	TH27_1242_S01
TES_down_1kb	377560	Tag count	TH27_1242_S01
TES_down_5kb	997804	Tag count	TH27_1242_S01
TES_down_10kb	1319519	Tag count	TH27_1242_S01
CDS_Exons	110071779	Tag count	TH27_1243_S01
5'UTR_Exons	5274432	Tag count	TH27_1243_S01
3'UTR_Exons	32850293	Tag count	TH27_1243_S01
Introns	16294237	Tag count	TH27_1243_S01
TSS_up_1kb	219772	Tag count	TH27_1243_S01
TSS_up_5kb	576880	Tag count	TH27_1243_S01
TSS_up_10kb	872081	Tag count	TH27_1243_S01
TES_down_1kb	445962	Tag count	TH27_1243_S01
TES_down_5kb	1186708	Tag count	TH27_1243_S01
TES_down_10kb	1598741	Tag count	TH27_1243_S01
CDS_Exons	65716130	Tag count	TH27_1244_S01
5'UTR_Exons	3516215	Tag count	TH27_1244_S01
3'UTR_Exons	20155486	Tag count	TH27_1244_S01
Introns	19489674	Tag count	TH27_1244_S01
TSS_up_1kb	130653	Tag count	TH27_1244_S01
TSS_up_5kb	341958	Tag count	TH27_1244_S01
TSS_up_10kb	537925	Tag count	TH27_1244_S01
TES_down_1kb	280281	Tag count	TH27_1244_S01
TES_down_5kb	780288	Tag count	TH27_1244_S01
TES_down_10kb	1045533	Tag count	TH27_1244_S01
CDS_Exons	61826774	Tag count	TH27_1245_S01
5'UTR_Exons	3003943	Tag count	TH27_1245_S01
3'UTR_Exons	19719805	Tag count	TH27_1245_S01
Introns	11897413	Tag count	TH27_1245_S01
TSS_up_1kb	131869	Tag count	TH27_1245_S01
TSS_up_5kb	338534	Tag count	TH27_1245_S01
TSS_up_10kb	490887	Tag count	TH27_1245_S01
TES_down_1kb	243730	Tag count	TH27_1245_S01
TES_down_5kb	617453	Tag count	TH27_1245_S01
TES_down_10kb	809174	Tag count	TH27_1245_S01
CDS_Exons	22657319	Tag count	TH27_1246_S01
5'UTR_Exons	968899	Tag count	TH27_1246_S01
3'UTR_Exons	12679702	Tag count	TH27_1246_S01
Introns	2938116	Tag count	TH27_1246_S01
TSS_up_1kb	61627	Tag count	TH27_1246_S01
TSS_up_5kb	188643	Tag count	TH27_1246_S01
TSS_up_10kb	293801	Tag count	TH27_1246_S01
TES_down_1kb	141107	Tag count	TH27_1246_S01
TES_down_5kb	385746	Tag count	TH27_1246_S01
TES_down_10kb	504785	Tag count	TH27_1246_S01
CDS_Exons	32986785	Tag count	TH27_1247_S01
5'UTR_Exons	1407061	Tag count	TH27_1247_S01
3'UTR_Exons	10819828	Tag count	TH27_1247_S01
Introns	1749163	Tag count	TH27_1247_S01
TSS_up_1kb	47086	Tag count	TH27_1247_S01
TSS_up_5kb	108917	Tag count	TH27_1247_S01
TSS_up_10kb	170562	Tag count	TH27_1247_S01
TES_down_1kb	89570	Tag count	TH27_1247_S01
TES_down_5kb	239939	Tag count	TH27_1247_S01
TES_down_10kb	309655	Tag count	TH27_1247_S01
CDS_Exons	103809871	Tag count	TH27_1267_S01
5'UTR_Exons	4053419	Tag count	TH27_1267_S01
3'UTR_Exons	36321677	Tag count	TH27_1267_S01
Introns	5286186	Tag count	TH27_1267_S01
TSS_up_1kb	121387	Tag count	TH27_1267_S01
TSS_up_5kb	268166	Tag count	TH27_1267_S01
TSS_up_10kb	411275	Tag count	TH27_1267_S01
TES_down_1kb	316629	Tag count	TH27_1267_S01
TES_down_5kb	790186	Tag count	TH27_1267_S01
TES_down_10kb	971336	Tag count	TH27_1267_S01
CDS_Exons	84906098	Tag count	TH27_1268_S01
5'UTR_Exons	3787990	Tag count	TH27_1268_S01
3'UTR_Exons	29361423	Tag count	TH27_1268_S01
Introns	4517193	Tag count	TH27_1268_S01
TSS_up_1kb	139535	Tag count	TH27_1268_S01
TSS_up_5kb	299151	Tag count	TH27_1268_S01
TSS_up_10kb	432447	Tag count	TH27_1268_S01
TES_down_1kb	225955	Tag count	TH27_1268_S01
TES_down_5kb	570726	Tag count	TH27_1268_S01
TES_down_10kb	718114	Tag count	TH27_1268_S01
CDS_Exons	74723379	Tag count	TH27_1269_S01
5'UTR_Exons	3662415	Tag count	TH27_1269_S01
3'UTR_Exons	29062384	Tag count	TH27_1269_S01
Introns	6022055	Tag count	TH27_1269_S01
TSS_up_1kb	128329	Tag count	TH27_1269_S01
TSS_up_5kb	295393	Tag count	TH27_1269_S01
TSS_up_10kb	478829	Tag count	TH27_1269_S01
TES_down_1kb	271389	Tag count	TH27_1269_S01
TES_down_5kb	695758	Tag count	TH27_1269_S01
TES_down_10kb	898052	Tag count	TH27_1269_S01
CDS_Exons	97096872	Tag count	TH27_1270_S01
5'UTR_Exons	4122056	Tag count	TH27_1270_S01
3'UTR_Exons	39087634	Tag count	TH27_1270_S01
Introns	6611408	Tag count	TH27_1270_S01
TSS_up_1kb	152264	Tag count	TH27_1270_S01
TSS_up_5kb	357140	Tag count	TH27_1270_S01
TSS_up_10kb	543633	Tag count	TH27_1270_S01
TES_down_1kb	347547	Tag count	TH27_1270_S01
TES_down_5kb	845204	Tag count	TH27_1270_S01
TES_down_10kb	1073685	Tag count	TH27_1270_S01
CDS_Exons	78161150	Tag count	TH27_1271_S01
5'UTR_Exons	2955156	Tag count	TH27_1271_S01
3'UTR_Exons	27560926	Tag count	TH27_1271_S01
Introns	3632567	Tag count	TH27_1271_S01
TSS_up_1kb	75789	Tag count	TH27_1271_S01
TSS_up_5kb	158180	Tag count	TH27_1271_S01
TSS_up_10kb	246227	Tag count	TH27_1271_S01
TES_down_1kb	168817	Tag count	TH27_1271_S01
TES_down_5kb	417969	Tag count	TH27_1271_S01
TES_down_10kb	522707	Tag count	TH27_1271_S01
CDS_Exons	60041236	Tag count	TH27_1271_S02
5'UTR_Exons	2307790	Tag count	TH27_1271_S02
3'UTR_Exons	11554187	Tag count	TH27_1271_S02
Introns	1951301	Tag count	TH27_1271_S02
TSS_up_1kb	43003	Tag count	TH27_1271_S02
TSS_up_5kb	86800	Tag count	TH27_1271_S02
TSS_up_10kb	137705	Tag count	TH27_1271_S02
TES_down_1kb	72966	Tag count	TH27_1271_S02
TES_down_5kb	182215	Tag count	TH27_1271_S02
TES_down_10kb	236245	Tag count	TH27_1271_S02
CDS_Exons	93178139	Tag count	TH27_1272_S01
5'UTR_Exons	4073064	Tag count	TH27_1272_S01
3'UTR_Exons	33858845	Tag count	TH27_1272_S01
Introns	5174556	Tag count	TH27_1272_S01
TSS_up_1kb	136902	Tag count	TH27_1272_S01
TSS_up_5kb	293119	Tag count	TH27_1272_S01
TSS_up_10kb	433554	Tag count	TH27_1272_S01
TES_down_1kb	261491	Tag count	TH27_1272_S01
TES_down_5kb	654544	Tag count	TH27_1272_S01
TES_down_10kb	825535	Tag count	TH27_1272_S01
CDS_Exons	42069762	Tag count	TH27_1272_S02
5'UTR_Exons	1672858	Tag count	TH27_1272_S02
3'UTR_Exons	16236100	Tag count	TH27_1272_S02
Introns	2457551	Tag count	TH27_1272_S02
TSS_up_1kb	56728	Tag count	TH27_1272_S02
TSS_up_5kb	126832	Tag count	TH27_1272_S02
TSS_up_10kb	184980	Tag count	TH27_1272_S02
TES_down_1kb	123635	Tag count	TH27_1272_S02
TES_down_5kb	313995	Tag count	TH27_1272_S02
TES_down_10kb	396055	Tag count	TH27_1272_S02
CDS_Exons	85832583	Tag count	TH27_1273_S01
5'UTR_Exons	3120540	Tag count	TH27_1273_S01
3'UTR_Exons	28635879	Tag count	TH27_1273_S01
Introns	3996089	Tag count	TH27_1273_S01
TSS_up_1kb	83793	Tag count	TH27_1273_S01
TSS_up_5kb	182132	Tag count	TH27_1273_S01
TSS_up_10kb	278634	Tag count	TH27_1273_S01
TES_down_1kb	188299	Tag count	TH27_1273_S01
TES_down_5kb	446236	Tag count	TH27_1273_S01
TES_down_10kb	548054	Tag count	TH27_1273_S01
CDS_Exons	41420275	Tag count	TH27_1353_S01
5'UTR_Exons	1996953	Tag count	TH27_1353_S01
3'UTR_Exons	14828824	Tag count	TH27_1353_S01
Introns	6813765	Tag count	TH27_1353_S01
TSS_up_1kb	87194	Tag count	TH27_1353_S01
TSS_up_5kb	230766	Tag count	TH27_1353_S01
TSS_up_10kb	343169	Tag count	TH27_1353_S01
TES_down_1kb	191204	Tag count	TH27_1353_S01
TES_down_5kb	527266	Tag count	TH27_1353_S01
TES_down_10kb	679948	Tag count	TH27_1353_S01
CDS_Exons	42917880	Tag count	TH27_1354_S01
5'UTR_Exons	1898926	Tag count	TH27_1354_S01
3'UTR_Exons	13219540	Tag count	TH27_1354_S01
Introns	1638269	Tag count	TH27_1354_S01
TSS_up_1kb	53105	Tag count	TH27_1354_S01
TSS_up_5kb	95250	Tag count	TH27_1354_S01
TSS_up_10kb	134919	Tag count	TH27_1354_S01
TES_down_1kb	87104	Tag count	TH27_1354_S01
TES_down_5kb	224945	Tag count	TH27_1354_S01
TES_down_10kb	277349	Tag count	TH27_1354_S01
CDS_Exons	27638633	Tag count	TH27_1355_S01
5'UTR_Exons	1134540	Tag count	TH27_1355_S01
3'UTR_Exons	12925879	Tag count	TH27_1355_S01
Introns	2303376	Tag count	TH27_1355_S01
TSS_up_1kb	46105	Tag count	TH27_1355_S01
TSS_up_5kb	110563	Tag count	TH27_1355_S01
TSS_up_10kb	174709	Tag count	TH27_1355_S01
TES_down_1kb	111120	Tag count	TH27_1355_S01
TES_down_5kb	295787	Tag count	TH27_1355_S01
TES_down_10kb	374523	Tag count	TH27_1355_S01
CDS_Exons	37743036	Tag count	TH27_1356_S01
5'UTR_Exons	1879684	Tag count	TH27_1356_S01
3'UTR_Exons	14747418	Tag count	TH27_1356_S01
Introns	2619785	Tag count	TH27_1356_S01
TSS_up_1kb	68046	Tag count	TH27_1356_S01
TSS_up_5kb	159331	Tag count	TH27_1356_S01
TSS_up_10kb	238158	Tag count	TH27_1356_S01
TES_down_1kb	148312	Tag count	TH27_1356_S01
TES_down_5kb	411841	Tag count	TH27_1356_S01
TES_down_10kb	521163	Tag count	TH27_1356_S01
CDS_Exons	34304568	Tag count	TH27_1357_S01
5'UTR_Exons	1303257	Tag count	TH27_1357_S01
3'UTR_Exons	13061683	Tag count	TH27_1357_S01
Introns	2370798	Tag count	TH27_1357_S01
TSS_up_1kb	46456	Tag count	TH27_1357_S01
TSS_up_5kb	111097	Tag count	TH27_1357_S01
TSS_up_10kb	168289	Tag count	TH27_1357_S01
TES_down_1kb	86553	Tag count	TH27_1357_S01
TES_down_5kb	234158	Tag count	TH27_1357_S01
TES_down_10kb	298894	Tag count	TH27_1357_S01
CDS_Exons	22657319	Tag count	TH27_1358_S01
5'UTR_Exons	968899	Tag count	TH27_1358_S01
3'UTR_Exons	12679702	Tag count	TH27_1358_S01
Introns	2938116	Tag count	TH27_1358_S01
TSS_up_1kb	61627	Tag count	TH27_1358_S01
TSS_up_5kb	188643	Tag count	TH27_1358_S01
TSS_up_10kb	293801	Tag count	TH27_1358_S01
TES_down_1kb	141107	Tag count	TH27_1358_S01
TES_down_5kb	385746	Tag count	TH27_1358_S01
TES_down_10kb	504785	Tag count	TH27_1358_S01
CDS_Exons	31885321	Tag count	TH27_1359_S01
5'UTR_Exons	1350561	Tag count	TH27_1359_S01
3'UTR_Exons	11025914	Tag count	TH27_1359_S01
Introns	4280435	Tag count	TH27_1359_S01
TSS_up_1kb	52151	Tag count	TH27_1359_S01
TSS_up_5kb	136578	Tag count	TH27_1359_S01
TSS_up_10kb	219976	Tag count	TH27_1359_S01
TES_down_1kb	130184	Tag count	TH27_1359_S01
TES_down_5kb	325907	Tag count	TH27_1359_S01
TES_down_10kb	417292	Tag count	TH27_1359_S01
CDS_Exons	88207820	Tag count	TH27_1402_S01
5'UTR_Exons	4202513	Tag count	TH27_1402_S01
3'UTR_Exons	21716367	Tag count	TH27_1402_S01
Introns	3558755	Tag count	TH27_1402_S01
TSS_up_1kb	146114	Tag count	TH27_1402_S01
TSS_up_5kb	300779	Tag count	TH27_1402_S01
TSS_up_10kb	423938	Tag count	TH27_1402_S01
TES_down_1kb	178446	Tag count	TH27_1402_S01
TES_down_5kb	470204	Tag count	TH27_1402_S01
TES_down_10kb	614638	Tag count	TH27_1402_S01
CDS_Exons	51251920	Tag count	TH27_1403_S01
5'UTR_Exons	2390088	Tag count	TH27_1403_S01
3'UTR_Exons	20007964	Tag count	TH27_1403_S01
Introns	4336472	Tag count	TH27_1403_S01
TSS_up_1kb	88988	Tag count	TH27_1403_S01
TSS_up_5kb	227850	Tag count	TH27_1403_S01
TSS_up_10kb	349599	Tag count	TH27_1403_S01
TES_down_1kb	203201	Tag count	TH27_1403_S01
TES_down_5kb	606251	Tag count	TH27_1403_S01
TES_down_10kb	791323	Tag count	TH27_1403_S01
CDS_Exons	75134024	Tag count	TH27_1404_S01
5'UTR_Exons	3301444	Tag count	TH27_1404_S01
3'UTR_Exons	20116927	Tag count	TH27_1404_S01
Introns	3082544	Tag count	TH27_1404_S01
TSS_up_1kb	95900	Tag count	TH27_1404_S01
TSS_up_5kb	191475	Tag count	TH27_1404_S01
TSS_up_10kb	281644	Tag count	TH27_1404_S01
TES_down_1kb	152105	Tag count	TH27_1404_S01
TES_down_5kb	396465	Tag count	TH27_1404_S01
TES_down_10kb	500878	Tag count	TH27_1404_S01
CDS_Exons	22295425	Tag count	TH27_1405_S01
5'UTR_Exons	964537	Tag count	TH27_1405_S01
3'UTR_Exons	8659713	Tag count	TH27_1405_S01
Introns	1532900	Tag count	TH27_1405_S01
TSS_up_1kb	24427	Tag count	TH27_1405_S01
TSS_up_5kb	60758	Tag count	TH27_1405_S01
TSS_up_10kb	108228	Tag count	TH27_1405_S01
TES_down_1kb	68865	Tag count	TH27_1405_S01
TES_down_5kb	171641	Tag count	TH27_1405_S01
TES_down_10kb	221491	Tag count	TH27_1405_S01
CDS_Exons	32986785	Tag count	TH27_1406_S01
5'UTR_Exons	1407061	Tag count	TH27_1406_S01
3'UTR_Exons	10819828	Tag count	TH27_1406_S01
Introns	1749163	Tag count	TH27_1406_S01
TSS_up_1kb	47086	Tag count	TH27_1406_S01
TSS_up_5kb	108917	Tag count	TH27_1406_S01
TSS_up_10kb	170562	Tag count	TH27_1406_S01
TES_down_1kb	89570	Tag count	TH27_1406_S01
TES_down_5kb	239939	Tag count	TH27_1406_S01
TES_down_10kb	309655	Tag count	TH27_1406_S01
CDS_Exons	50351680	Tag count	TH27_1408_S01
5'UTR_Exons	2154464	Tag count	TH27_1408_S01
3'UTR_Exons	13687245	Tag count	TH27_1408_S01
Introns	1652166	Tag count	TH27_1408_S01
TSS_up_1kb	59777	Tag count	TH27_1408_S01
TSS_up_5kb	118114	Tag count	TH27_1408_S01
TSS_up_10kb	169659	Tag count	TH27_1408_S01
TES_down_1kb	98185	Tag count	TH27_1408_S01
TES_down_5kb	249166	Tag count	TH27_1408_S01
TES_down_10kb	318474	Tag count	TH27_1408_S01
CDS_Exons	92731823	Tag count	TH27_1409_S01
5'UTR_Exons	4652814	Tag count	TH27_1409_S01
3'UTR_Exons	23789464	Tag count	TH27_1409_S01
Introns	5659994	Tag count	TH27_1409_S01
TSS_up_1kb	170607	Tag count	TH27_1409_S01
TSS_up_5kb	366601	Tag count	TH27_1409_S01
TSS_up_10kb	537570	Tag count	TH27_1409_S01
TES_down_1kb	245380	Tag count	TH27_1409_S01
TES_down_5kb	631722	Tag count	TH27_1409_S01
TES_down_10kb	871325	Tag count	TH27_1409_S01
CDS_Exons	52340816	Tag count	TH27_1410_S01
5'UTR_Exons	2536001	Tag count	TH27_1410_S01
3'UTR_Exons	17988239	Tag count	TH27_1410_S01
Introns	3234885	Tag count	TH27_1410_S01
TSS_up_1kb	83255	Tag count	TH27_1410_S01
TSS_up_5kb	178709	Tag count	TH27_1410_S01
TSS_up_10kb	276140	Tag count	TH27_1410_S01
TES_down_1kb	168703	Tag count	TH27_1410_S01
TES_down_5kb	429932	Tag count	TH27_1410_S01
TES_down_10kb	527847	Tag count	TH27_1410_S01
CDS_Exons	63240734	Tag count	TH27_1411_S01
5'UTR_Exons	3393556	Tag count	TH27_1411_S01
3'UTR_Exons	14801588	Tag count	TH27_1411_S01
Introns	9586690	Tag count	TH27_1411_S01
TSS_up_1kb	148536	Tag count	TH27_1411_S01
TSS_up_5kb	327116	Tag count	TH27_1411_S01
TSS_up_10kb	502074	Tag count	TH27_1411_S01
TES_down_1kb	208116	Tag count	TH27_1411_S01
TES_down_5kb	571575	Tag count	TH27_1411_S01
TES_down_10kb	775679	Tag count	TH27_1411_S01
CDS_Exons	89961368	Tag count	TH27_1413_S01
5'UTR_Exons	4003695	Tag count	TH27_1413_S01
3'UTR_Exons	26809522	Tag count	TH27_1413_S01
Introns	5520369	Tag count	TH27_1413_S01
TSS_up_1kb	113533	Tag count	TH27_1413_S01
TSS_up_5kb	244953	Tag count	TH27_1413_S01
TSS_up_10kb	367451	Tag count	TH27_1413_S01
TES_down_1kb	205483	Tag count	TH27_1413_S01
TES_down_5kb	552348	Tag count	TH27_1413_S01
TES_down_10kb	708274	Tag count	TH27_1413_S01
CDS_Exons	24116214	Tag count	TH27_1453_S01
5'UTR_Exons	1653734	Tag count	TH27_1453_S01
3'UTR_Exons	7414583	Tag count	TH27_1453_S01
Introns	8565038	Tag count	TH27_1453_S01
TSS_up_1kb	88845	Tag count	TH27_1453_S01
TSS_up_5kb	191255	Tag count	TH27_1453_S01
TSS_up_10kb	278827	Tag count	TH27_1453_S01
TES_down_1kb	103457	Tag count	TH27_1453_S01
TES_down_5kb	296518	Tag count	TH27_1453_S01
TES_down_10kb	394731	Tag count	TH27_1453_S01
CDS_Exons	81476454	Tag count	TH27_1454_S01
5'UTR_Exons	4396103	Tag count	TH27_1454_S01
3'UTR_Exons	22571536	Tag count	TH27_1454_S01
Introns	12414714	Tag count	TH27_1454_S01
TSS_up_1kb	185913	Tag count	TH27_1454_S01
TSS_up_5kb	479188	Tag count	TH27_1454_S01
TSS_up_10kb	743567	Tag count	TH27_1454_S01
TES_down_1kb	308380	Tag count	TH27_1454_S01
TES_down_5kb	814221	Tag count	TH27_1454_S01
TES_down_10kb	1110081	Tag count	TH27_1454_S01
CDS_Exons	32555202	Tag count	TH27_2185_S01
5'UTR_Exons	1748914	Tag count	TH27_2185_S01
3'UTR_Exons	13339716	Tag count	TH27_2185_S01
Introns	4463350	Tag count	TH27_2185_S01
TSS_up_1kb	75372	Tag count	TH27_2185_S01
TSS_up_5kb	200991	Tag count	TH27_2185_S01
TSS_up_10kb	316824	Tag count	TH27_2185_S01
TES_down_1kb	136503	Tag count	TH27_2185_S01
TES_down_5kb	357535	Tag count	TH27_2185_S01
TES_down_10kb	476801	Tag count	TH27_2185_S01
CDS_Exons	35131767	Tag count	TH27_2189_S01
5'UTR_Exons	1475427	Tag count	TH27_2189_S01
3'UTR_Exons	17798953	Tag count	TH27_2189_S01
Introns	2806262	Tag count	TH27_2189_S01
TSS_up_1kb	62357	Tag count	TH27_2189_S01
TSS_up_5kb	161377	Tag count	TH27_2189_S01
TSS_up_10kb	262624	Tag count	TH27_2189_S01
TES_down_1kb	171007	Tag count	TH27_2189_S01
